id,start_loc,goal_loc,Usage
0,"[(4, 4), (2, 3), (4, 1), (0, 3), (1, 0), (1, 2), (1, 4)]","[(1, 1), (1, 3), (2, 2), (3, 3), (0, 1), (1, 4), (3, 1)]",Public
1,"[(2, 1), (2, 3), (3, 2), (1, 1), (0, 3), (0, 0), (1, 3)]","[(4, 0), (2, 3), (2, 1), (1, 1), (4, 3), (2, 4), (1, 3)]",Public
2,"[(0, 0), (3, 0), (1, 4), (2, 0), (3, 2), (1, 3), (3, 4)]","[(4, 3), (2, 3), (1, 1), (1, 0), (1, 3), (0, 2), (0, 4)]",Public
3,"[(4, 1), (3, 4), (0, 1), (2, 2), (0, 4), (1, 1), (3, 0)]","[(0, 0), (3, 3), (1, 3), (3, 2), (1, 0), (0, 2), (1, 1)]",Public
4,"[(3, 2), (4, 0), (2, 2), (1, 0), (3, 0), (2, 0), (3, 1)]","[(0, 2), (1, 2), (0, 1), (2, 1), (3, 3), (4, 1), (2, 4)]",Public
5,"[(3, 2), (1, 3), (1, 4), (2, 1), (3, 3), (2, 0), (0, 3)]","[(2, 3), (3, 3), (4, 0), (4, 3), (3, 2), (3, 4), (4, 4)]",Public
6,"[(0, 4), (1, 4), (3, 2), (4, 1), (1, 3), (4, 2), (0, 0)]","[(1, 4), (1, 0), (0, 4), (4, 1), (1, 1), (2, 4), (3, 0)]",Public
7,"[(3, 4), (4, 4), (3, 3), (4, 2), (3, 0), (1, 4), (2, 3)]","[(4, 0), (2, 4), (0, 3), (3, 3), (4, 1), (0, 1), (2, 1)]",Public
8,"[(1, 3), (2, 4), (3, 2), (4, 4), (3, 3), (4, 1), (1, 1)]","[(4, 4), (1, 1), (1, 2), (3, 4), (0, 0), (3, 1), (3, 3)]",Public
9,"[(1, 4), (3, 2), (2, 3), (2, 0), (1, 3), (3, 0), (4, 4)]","[(3, 0), (3, 3), (1, 3), (4, 0), (3, 4), (3, 1), (4, 4)]",Public
10,"[(1, 2), (1, 3), (4, 4), (3, 4), (2, 4), (0, 0), (2, 2)]","[(1, 2), (3, 1), (3, 0), (4, 0), (1, 0), (0, 4), (4, 1)]",Public
11,"[(3, 0), (2, 0), (1, 4), (3, 1), (3, 2), (4, 2), (4, 0)]","[(0, 0), (3, 0), (0, 4), (3, 4), (4, 2), (0, 3), (1, 0)]",Public
12,"[(2, 2), (0, 0), (0, 3), (3, 4), (4, 4), (4, 2), (0, 1)]","[(3, 3), (4, 1), (1, 0), (1, 3), (0, 3), (3, 0), (4, 3)]",Public
13,"[(2, 1), (4, 0), (1, 4), (4, 1), (3, 1), (2, 2), (0, 3)]","[(4, 3), (4, 0), (2, 4), (4, 4), (1, 3), (2, 0), (2, 2)]",Public
14,"[(3, 3), (2, 2), (2, 1), (1, 0), (3, 0), (1, 2), (0, 3)]","[(0, 2), (4, 1), (0, 3), (2, 2), (3, 2), (4, 3), (3, 1)]",Public
15,"[(4, 3), (0, 4), (1, 4), (0, 2), (3, 0), (1, 2), (0, 0)]","[(3, 4), (4, 3), (1, 1), (0, 0), (0, 1), (3, 0), (2, 4)]",Public
16,"[(4, 0), (0, 4), (3, 4), (3, 0), (4, 4), (0, 1), (1, 3)]","[(0, 4), (4, 2), (2, 3), (2, 1), (0, 3), (3, 4), (1, 0)]",Public
17,"[(2, 0), (4, 2), (0, 3), (2, 1), (4, 3), (3, 2), (3, 3)]","[(3, 0), (3, 3), (4, 0), (4, 4), (2, 0), (3, 4), (0, 4)]",Public
18,"[(1, 4), (0, 2), (4, 0), (1, 3), (4, 1), (2, 1), (1, 2)]","[(3, 3), (2, 1), (4, 4), (0, 3), (3, 0), (0, 4), (1, 4)]",Public
19,"[(3, 4), (2, 0), (0, 2), (3, 2), (3, 1), (4, 4), (0, 0)]","[(0, 2), (0, 4), (1, 0), (1, 4), (4, 0), (4, 1), (2, 3)]",Public
20,"[(4, 0), (0, 4), (1, 0), (0, 2), (1, 2), (3, 3), (4, 3)]","[(2, 1), (1, 4), (2, 0), (2, 3), (0, 4), (4, 2), (3, 4)]",Public
21,"[(4, 3), (4, 0), (3, 1), (3, 3), (0, 4), (2, 1), (2, 0)]","[(0, 3), (0, 0), (3, 2), (3, 1), (3, 4), (4, 4), (3, 0)]",Public
22,"[(2, 3), (0, 1), (0, 2), (1, 0), (2, 0), (4, 4), (3, 0)]","[(4, 0), (2, 0), (1, 2), (0, 1), (4, 1), (3, 3), (3, 4)]",Public
23,"[(3, 0), (2, 1), (0, 1), (1, 1), (4, 1), (4, 0), (0, 2)]","[(1, 2), (0, 1), (2, 0), (4, 3), (3, 1), (1, 1), (2, 4)]",Public
24,"[(1, 1), (0, 1), (3, 1), (0, 3), (4, 0), (1, 0), (0, 0)]","[(2, 0), (3, 2), (4, 4), (3, 4), (1, 0), (2, 3), (1, 3)]",Public
25,"[(0, 4), (2, 4), (0, 1), (2, 0), (0, 3), (1, 0), (3, 4)]","[(3, 1), (1, 4), (2, 3), (0, 4), (2, 0), (4, 1), (0, 3)]",Public
26,"[(4, 4), (0, 0), (0, 3), (3, 2), (2, 1), (1, 1), (4, 1)]","[(3, 1), (1, 2), (2, 3), (1, 0), (0, 4), (2, 1), (2, 0)]",Public
27,"[(2, 2), (1, 2), (1, 3), (0, 4), (0, 0), (2, 1), (4, 1)]","[(2, 4), (3, 4), (0, 3), (4, 2), (1, 4), (1, 2), (4, 1)]",Public
28,"[(3, 3), (0, 3), (0, 2), (1, 2), (0, 4), (2, 4), (0, 1)]","[(1, 1), (0, 2), (3, 1), (1, 3), (2, 1), (4, 2), (1, 4)]",Public
29,"[(3, 0), (2, 1), (0, 3), (1, 1), (0, 2), (0, 1), (4, 2)]","[(0, 2), (4, 0), (3, 4), (1, 3), (2, 0), (0, 3), (4, 4)]",Public
30,"[(0, 2), (2, 4), (0, 0), (4, 2), (3, 0), (0, 4), (1, 4)]","[(3, 4), (1, 0), (3, 1), (4, 0), (2, 3), (3, 2), (1, 2)]",Public
31,"[(1, 1), (2, 0), (1, 4), (3, 3), (3, 4), (3, 0), (2, 3)]","[(1, 2), (4, 4), (3, 0), (4, 1), (2, 4), (2, 0), (1, 0)]",Public
32,"[(1, 2), (3, 2), (2, 4), (2, 1), (0, 4), (0, 3), (2, 3)]","[(4, 1), (3, 2), (0, 3), (2, 2), (3, 0), (2, 1), (0, 1)]",Public
33,"[(0, 1), (0, 2), (1, 3), (4, 0), (4, 1), (2, 3), (3, 1)]","[(3, 4), (0, 1), (2, 4), (1, 4), (3, 3), (4, 4), (4, 3)]",Public
34,"[(4, 0), (3, 2), (3, 0), (4, 3), (4, 2), (2, 2), (1, 2)]","[(1, 3), (3, 0), (3, 2), (4, 2), (4, 1), (2, 0), (1, 1)]",Public
35,"[(1, 0), (3, 1), (4, 0), (1, 4), (4, 2), (3, 2), (0, 3)]","[(1, 2), (2, 0), (4, 2), (2, 1), (1, 3), (0, 2), (2, 4)]",Public
36,"[(0, 2), (3, 3), (1, 2), (1, 0), (4, 2), (0, 1), (2, 2)]","[(1, 1), (3, 4), (0, 4), (0, 0), (2, 4), (2, 0), (4, 1)]",Public
37,"[(0, 4), (3, 3), (3, 1), (0, 2), (3, 4), (0, 0), (1, 0)]","[(2, 0), (1, 3), (0, 3), (2, 4), (1, 2), (0, 1), (2, 3)]",Public
38,"[(2, 2), (0, 1), (0, 2), (0, 4), (4, 4), (4, 2), (0, 0)]","[(0, 0), (4, 1), (2, 2), (1, 2), (3, 3), (2, 1), (0, 1)]",Public
39,"[(0, 2), (1, 2), (4, 3), (2, 3), (0, 1), (1, 3), (3, 0)]","[(4, 0), (3, 0), (2, 1), (2, 2), (3, 4), (1, 1), (2, 4)]",Public
40,"[(3, 0), (2, 0), (0, 2), (1, 4), (1, 1), (3, 4), (4, 0)]","[(2, 4), (3, 2), (3, 3), (0, 2), (0, 4), (2, 3), (3, 4)]",Public
41,"[(2, 2), (1, 3), (3, 1), (3, 3), (1, 2), (3, 0), (1, 0)]","[(0, 3), (3, 2), (3, 1), (1, 0), (1, 2), (1, 3), (0, 4)]",Public
42,"[(0, 4), (1, 3), (0, 3), (2, 1), (3, 2), (4, 3), (3, 1)]","[(4, 2), (0, 1), (2, 1), (1, 3), (1, 0), (0, 3), (0, 2)]",Public
43,"[(2, 4), (2, 0), (4, 0), (0, 1), (3, 2), (2, 2), (2, 1)]","[(4, 1), (0, 4), (1, 2), (0, 2), (1, 4), (0, 3), (3, 4)]",Public
44,"[(4, 2), (0, 2), (1, 2), (1, 3), (4, 1), (1, 1), (3, 1)]","[(3, 1), (0, 4), (4, 1), (2, 2), (1, 4), (1, 1), (0, 1)]",Public
45,"[(4, 1), (4, 2), (1, 4), (1, 2), (0, 4), (1, 1), (3, 4)]","[(3, 0), (2, 2), (3, 3), (1, 4), (4, 3), (4, 0), (0, 3)]",Public
46,"[(1, 3), (4, 0), (1, 1), (2, 3), (3, 0), (0, 1), (0, 0)]","[(4, 4), (0, 0), (1, 2), (0, 2), (3, 3), (4, 1), (4, 2)]",Public
47,"[(2, 0), (4, 1), (0, 0), (3, 2), (3, 4), (0, 3), (3, 0)]","[(0, 0), (2, 1), (0, 3), (0, 1), (1, 1), (2, 4), (3, 4)]",Public
48,"[(0, 0), (2, 2), (4, 0), (1, 3), (1, 0), (2, 1), (3, 2)]","[(2, 0), (1, 2), (3, 3), (3, 1), (1, 3), (0, 4), (2, 4)]",Public
49,"[(1, 1), (0, 2), (4, 1), (0, 4), (0, 3), (2, 1), (3, 2)]","[(4, 2), (3, 3), (1, 0), (2, 0), (0, 3), (3, 4), (4, 4)]",Public
50,"[(3, 1), (2, 4), (3, 0), (2, 1), (4, 1), (0, 4), (1, 4)]","[(3, 1), (1, 3), (1, 4), (2, 4), (2, 2), (0, 2), (3, 0)]",Public
51,"[(3, 0), (1, 3), (1, 2), (2, 3), (0, 0), (4, 4), (3, 3)]","[(1, 1), (0, 4), (3, 4), (4, 4), (1, 4), (4, 2), (2, 1)]",Public
52,"[(1, 4), (0, 4), (3, 3), (3, 1), (0, 2), (2, 2), (3, 0)]","[(0, 0), (0, 3), (2, 0), (4, 3), (3, 4), (1, 0), (2, 4)]",Public
53,"[(1, 4), (2, 3), (0, 1), (1, 2), (4, 2), (3, 1), (2, 4)]","[(3, 2), (3, 3), (2, 1), (1, 0), (4, 1), (3, 4), (4, 2)]",Public
54,"[(1, 1), (0, 0), (0, 1), (3, 3), (3, 2), (2, 2), (3, 1)]","[(4, 4), (0, 4), (2, 4), (0, 3), (4, 0), (0, 2), (1, 1)]",Public
55,"[(2, 3), (4, 2), (1, 0), (0, 2), (3, 1), (3, 2), (2, 2)]","[(1, 3), (3, 2), (0, 0), (2, 1), (2, 3), (3, 1), (3, 0)]",Public
56,"[(2, 0), (2, 3), (3, 1), (4, 3), (1, 4), (4, 2), (3, 4)]","[(2, 1), (1, 3), (1, 4), (4, 2), (2, 4), (4, 1), (1, 0)]",Public
57,"[(3, 1), (4, 2), (3, 4), (0, 4), (2, 4), (1, 4), (2, 0)]","[(3, 4), (2, 2), (0, 2), (4, 4), (3, 2), (1, 3), (2, 4)]",Public
58,"[(1, 4), (0, 3), (4, 4), (3, 0), (4, 3), (2, 3), (4, 2)]","[(1, 4), (1, 0), (1, 1), (4, 1), (4, 0), (0, 2), (0, 3)]",Public
59,"[(3, 2), (0, 0), (1, 4), (1, 0), (0, 3), (3, 4), (1, 2)]","[(3, 2), (4, 0), (1, 2), (3, 3), (3, 1), (2, 2), (1, 0)]",Public
60,"[(0, 3), (0, 1), (2, 1), (0, 0), (0, 2), (3, 1), (4, 2)]","[(2, 2), (3, 4), (2, 3), (4, 1), (3, 2), (1, 2), (4, 2)]",Public
61,"[(0, 4), (2, 2), (0, 2), (1, 2), (2, 3), (0, 0), (3, 2)]","[(3, 4), (0, 2), (3, 0), (0, 4), (4, 2), (2, 0), (4, 1)]",Public
62,"[(3, 3), (3, 1), (1, 0), (4, 0), (2, 1), (0, 4), (0, 0)]","[(3, 0), (1, 4), (1, 2), (4, 4), (4, 3), (2, 2), (0, 2)]",Public
63,"[(1, 0), (2, 0), (3, 3), (4, 1), (2, 4), (4, 0), (0, 4)]","[(0, 0), (3, 3), (3, 1), (2, 3), (0, 3), (1, 4), (4, 3)]",Public
64,"[(0, 2), (4, 3), (4, 2), (3, 3), (0, 3), (4, 0), (1, 4)]","[(0, 2), (4, 3), (3, 2), (0, 1), (2, 4), (1, 2), (2, 1)]",Public
65,"[(4, 1), (4, 2), (2, 0), (4, 0), (1, 4), (2, 4), (0, 3)]","[(4, 4), (1, 3), (4, 2), (1, 4), (2, 4), (4, 1), (3, 0)]",Public
66,"[(2, 3), (0, 0), (1, 3), (0, 3), (3, 0), (3, 4), (2, 0)]","[(2, 1), (0, 0), (1, 1), (1, 3), (4, 1), (0, 1), (2, 0)]",Public
67,"[(1, 0), (2, 4), (4, 0), (2, 0), (0, 3), (1, 1), (0, 0)]","[(3, 1), (4, 3), (3, 3), (3, 2), (1, 0), (2, 0), (3, 4)]",Public
68,"[(1, 4), (4, 1), (3, 3), (0, 2), (2, 1), (4, 2), (2, 4)]","[(1, 4), (1, 3), (0, 4), (3, 1), (4, 1), (3, 3), (2, 3)]",Public
69,"[(4, 2), (1, 4), (0, 4), (3, 0), (4, 4), (1, 3), (1, 2)]","[(3, 3), (4, 1), (1, 0), (2, 2), (2, 0), (2, 1), (1, 1)]",Public
70,"[(0, 4), (2, 0), (3, 2), (4, 2), (2, 2), (3, 0), (0, 0)]","[(4, 2), (3, 3), (3, 2), (2, 3), (0, 4), (4, 0), (3, 1)]",Public
